	word	SWN3	Nanger	Nanticipation	Ndisgust	Nfear	Njoy	Nnegative	Npositive	Nsadness	Nsurprise	Ntrust	AFINN	OPFIND
417	abandon	-0.130859375	0	0	0	1	0	1	0	1	0	0	-2	negative
418	abandoned	0.0625	1	0	0	1	0	1	0	1	0	0	-2	negative
535	abhor	-0.25	1	0	1	1	0	1	0	0	0	0	-3	negative
538	abhorrent	-0.625	1	0	1	1	0	1	0	0	0	0	-3	negative
563	ability	0.25	0	0	0	0	0	0	1	0	0	0	2	positive
738	absentee	-0.625	0	0	0	0	0	1	0	1	0	0	-1	negative
849	abuse	-0.51171875	1	0	1	1	0	1	0	1	0	0	-3	negative
1008	accept	0.0668945313	0	0	0	0	0	0	0	0	0	0	1	positive
1049	accidental	-0.125	0	0	0	1	0	1	0	0	1	0	-2	negative
1178	accusation	-0.125	1	0	1	0	0	1	0	0	0	0	-2	negative
1188	accusing	-0.5	1	0	0	1	0	1	0	0	0	0	-2	negative
1282	ache	-0.34375	0	0	0	0	0	1	0	1	0	0	-2	negative
1683	active	0.1910533905	0	0	0	0	0	0	0	0	0	0	1	positive
1942	adequate	0.03125	0	0	0	0	0	0	0	0	0	0	1	positive
2073	admire	0.5625	0	0	0	0	0	0	1	0	0	1	3	positive
2087	admit	0.0009765625	0	0	0	0	0	0	0	0	0	0	-1	positive
2139	adorable	0.5	0	0	0	0	1	0	1	0	0	0	3	positive
2143	adore	0.375	0	1	0	0	1	0	1	0	0	1	3	positive
2232	advanced	0.2529296875	0	0	0	0	0	0	1	0	0	0	1	positive
2237	advantage	0.203125	0	0	0	0	0	0	1	0	0	0	2	positive
2254	adventure	0.03125	0	1	0	0	0	0	1	0	0	0	2	positive
2262	adventurous	0.375	0	0	0	0	0	0	1	0	0	0	2	positive
2499	affection	0.375	0	0	0	0	1	0	1	0	0	1	3	positive
2589	afraid	-0.53125	0	0	0	1	0	1	0	0	0	0	-2	negative
2818	aggravating	-0.25	1	0	0	0	0	1	0	1	0	0	-2	negative
2829	aggression	-0.21875	1	0	0	1	0	1	0	0	0	0	-2	negative
2831	aggressive	0.0625	1	0	0	1	0	1	0	0	0	0	-2	negative
2841	aghast	0.25	0	0	1	1	0	1	0	0	1	0	-2	negative
2907	agonizing	-0.5	0	0	0	1	0	1	0	0	0	0	-3	negative
2926	agree	0.107421875	0	0	0	0	0	0	1	0	0	0	1	positive
2928	agreeable	0.15625	0	0	0	0	0	0	1	0	0	1	2	positive
2934	agreement	0.0625	0	0	0	0	0	0	1	0	0	1	1	positive
3357	alarm	0.015625	0	0	0	1	0	1	0	0	1	0	-2	negative
3782	alienation	-0.3125	1	0	1	1	0	1	0	1	0	0	-2	negative
4538	amaze	-0.1875	0	0	0	0	0	0	0	0	1	0	2	positive
5152	amuse	0.75	0	0	0	0	1	0	1	0	0	0	3	positive
5154	amusement	-0.1875	0	0	0	0	1	0	1	0	0	0	3	positive
5688	anger	-0.0625	1	0	0	0	0	1	0	0	0	0	-3	negative
5806	angry	-0.46875	1	0	1	0	0	1	0	0	0	0	-3	negative
5823	anguish	-0.5	1	0	0	1	0	1	0	1	0	0	-3	negative
5928	animosity	-0.125	1	0	1	1	0	1	0	1	0	0	-2	negative
6047	annoyance	-0.234375	1	0	1	0	0	1	0	0	0	0	-2	negative
6050	annoying	-0.375	1	0	0	0	0	1	0	0	0	0	-2	negative
6208	antagonistic	-0.34375	1	0	1	0	0	1	0	0	0	0	-2	negative
6725	anxiety	-0.375	1	1	0	1	0	1	0	1	0	0	-2	negative
6733	anxious	-0.1875	0	1	0	1	0	1	0	0	0	0	-2	negative
6779	apathetic	-0.25	0	0	0	0	0	1	0	1	0	0	-3	negative
6781	apathy	-0.4375	0	0	0	0	0	1	0	1	0	0	-3	negative
6903	apocalyptic	-0.125	0	0	0	0	0	0	0	0	0	0	-2	negative
7028	appalling	-0.1875	0	0	1	1	0	1	0	0	0	0	-2	negative
7060	appease	0.34375	0	0	0	0	0	0	0	0	0	0	2	positive
7200	appreciation	0.171875	0	0	0	0	1	0	1	0	0	1	2	positive
7211	apprehensive	-0.125	0	1	0	1	0	1	0	0	0	0	-2	negative
7242	approval	0.390625	0	0	0	0	0	0	1	0	0	0	2	positive
7713	ardent	0.09375	0	1	0	0	1	0	1	0	0	0	1	positive
8162	arrogant	0.125	1	0	1	0	0	1	0	0	0	0	-2	negative
8721	ashamed	-0.75	0	0	1	0	0	1	0	1	0	0	-2	negative
9673	attack	-0.2530517578	1	0	0	1	0	1	0	0	0	0	-1	negative
9758	attraction	0.0234375	0	0	0	0	0	0	1	0	0	0	2	positive
9809	audacious	0.34375	0	0	0	0	0	0	0	0	0	0	3	negative
10372	avid	0.3125	0	0	0	0	0	0	0	0	0	0	2	positive
10397	avoid	-0.1953125	0	0	0	1	0	1	0	0	0	0	-1	negative
10424	award	0.125	0	1	0	0	1	0	1	0	1	1	3	positive
10446	awful	0.0546875	1	0	1	1	0	1	0	1	0	0	-3	negative
10940	bad	-0.2861785889	1	0	1	1	0	1	0	1	0	0	-3	negative
10973	badly	-0.1752929688	0	0	0	0	0	1	0	1	0	0	-3	negative
11523	bankrupt	-0.09375	0	0	0	1	0	1	0	1	0	0	-3	negative
11718	bargain	0.0625	0	0	0	0	0	0	1	0	0	1	2	positive
12145	bastard	-0.328125	0	0	1	0	0	1	0	1	0	0	-5	negative
12289	battle	-0.125	1	0	0	0	0	1	0	0	0	0	-1	negative
12721	beautiful	0.6875	0	0	0	0	1	0	1	0	0	0	3	positive
12723	beautify	0.3125	0	0	0	0	1	0	1	0	0	0	3	positive
13125	belittle	-0.0625	1	0	1	1	0	1	0	1	0	0	-2	negative
13347	benefit	0.53125	0	0	0	0	0	0	1	0	0	0	2	positive
13708	betray	-0.4609375	1	0	1	0	0	1	0	1	1	0	-3	negative
13709	betrayal	-0.125	1	0	1	0	0	1	0	1	0	0	-3	negative
13820	bias	0.0390625	1	0	0	0	0	1	0	0	0	0	-1	negative
14571	bitch	-0.33984375	1	0	1	1	0	1	0	1	0	0	-5	negative
14623	bitterly	-0.21875	1	0	1	0	0	1	0	1	0	0	-2	negative
14658	bizarre	-0.25	0	0	0	0	0	1	0	0	1	0	-2	negative
14991	blame	-0.3046875	1	0	1	0	0	1	0	0	0	0	-2	negative
15176	bless	-0.125	0	1	0	0	1	0	1	0	0	1	2	positive
15185	blessing	0.171875	0	1	0	0	1	0	1	0	0	1	3	positive
15208	blind	-0.3071289063	0	0	0	0	0	1	0	0	0	0	-1	negative
15253	bliss	-0.375	0	0	0	0	1	0	1	0	0	0	3	positive
15254	blissful	-0.125	0	0	0	0	1	0	1	0	0	0	3	positive
15286	block	-0.0015566945	0	0	0	0	0	0	0	0	0	0	-1	negative
15418	bloody	-0.109375	1	0	1	1	0	1	0	1	0	0	-3	negative
15984	bold	0.109375	0	0	0	0	0	0	1	0	0	0	2	positive
16065	bomb	-0.03125	1	0	0	1	0	1	0	1	1	0	-1	negative
16363	boost	0.0703125	0	0	0	0	0	0	0	0	0	0	1	positive
16444	bore	0.046875	0	0	0	0	0	1	0	0	0	0	-2	negative
16457	boring	-0.0625	0	0	0	0	0	1	0	0	0	0	-3	negative
16583	bother	-0.5595703125	0	0	0	0	0	1	0	0	0	0	-2	negative
17587	brightness	0.21875	0	0	0	0	0	0	1	0	0	0	1	positive
17598	brilliant	0.6171875	0	1	0	0	1	0	1	0	0	1	4	positive
17658	brisk	0.28125	0	0	0	0	0	0	0	0	0	0	2	positive
17833	broke	-0.375	0	0	0	1	0	1	0	1	0	0	-1	negative
18537	bully	0.1171875	1	0	0	1	0	1	0	0	0	0	-2	negative
18674	burden	-0.02734375	0	0	0	0	0	0	0	0	0	0	-2	negative
19880	calm	-0.009765625	0	0	0	0	0	0	1	0	0	0	2	positive
20262	cancer	-0.0625	1	0	1	1	0	1	0	1	0	0	-1	negative
20548	capable	-0.015625	0	0	0	0	0	0	0	0	0	0	1	positive
21288	care	0.033203125	0	0	0	0	0	0	0	0	0	0	2	positive
21303	careful	0.1015625	0	0	0	0	0	0	1	0	0	0	2	positive
21984	casualty	-0.515625	1	0	0	1	0	1	0	1	0	0	-2	negative
22109	catastrophe	-0.3125	1	0	1	1	0	1	0	1	1	0	-3	negative
22382	cautious	0.4375	0	1	0	1	0	0	1	0	0	1	-1	negative
22547	celebrated	0.0625	0	1	0	0	1	0	1	0	0	0	3	positive
23215	chagrin	-0.25	0	0	1	0	0	1	0	1	0	0	-2	negative
23299	challenge	0.0048828125	1	0	0	1	0	1	0	0	0	0	-1	negative
23476	chaos	-0.15625	1	0	0	1	0	1	0	1	0	0	-2	negative
23477	chaotic	-0.1875	1	0	0	0	0	1	0	0	0	0	-2	negative
23699	charm	0.1015625	0	0	0	0	0	0	1	0	0	0	3	positive
23704	charming	0.3125	0	0	0	0	0	0	1	0	0	0	3	positive
23810	cheat	-0.2788085938	1	0	1	0	0	1	0	0	0	0	-3	negative
23880	cheer	0.126953125	0	1	0	0	1	0	1	0	1	1	2	positive
23884	cheerful	0.6875	0	0	0	0	1	0	1	0	1	0	2	positive
23896	cheery	0.5	0	1	0	0	1	0	1	0	0	0	3	positive
24195	chic	0.5625	0	0	0	0	0	0	0	0	0	0	2	positive
24330	childish	-0.375	0	0	0	0	0	1	0	0	0	0	-2	negative
24755	choke	0.0005187988	1	0	0	0	0	1	0	1	0	0	-2	negative
25844	clarity	0.3125	0	0	0	0	0	0	0	0	0	0	2	positive
25854	clash	-0.140625	1	0	0	0	0	1	0	0	0	0	-2	negative
26094	clean	0.1445007835	0	0	0	0	1	0	1	0	0	1	2	positive
26238	clever	0.53125	0	0	0	0	0	0	1	0	0	0	2	positive
27454	collapse	0.1163330078	0	0	1	1	0	1	0	1	0	0	-2	negative
27522	collide	-0.09375	0	0	0	0	0	0	0	0	0	0	-1	negative
27920	comfort	-0.009765625	0	1	0	0	1	0	1	0	0	1	2	positive
27993	commend	0.3203125	0	0	0	0	0	0	1	0	0	0	2	positive
28473	compassionate	-0.125	0	0	0	0	0	0	1	0	0	0	2	positive
28502	competent	0.625	0	0	0	0	0	0	1	0	0	1	2	positive
